Title:,"Time Series, Area-Averaged of Total Surface Mass Concentration - PM2.5, time average hourly 0.5 x 0.625 (hourly)"
User Start Date:,2018-01-01T00:00:00Z
User End Date:,2025-01-31T23:59:59Z
User Bounding Box:,"90.1,23.5,90.8,24.1"
Data Bounding Box:,"90.625,23.5,90.625,24"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2018-01-01T00:00:00Z&endtime=2025-01-31T23:59:59Z&bbox=90.1,23.5,90.8,24.1&data=M2T1NXAER_5_12_4_TOTSMASS25%2CM2T1NXAER_5_12_4_TOTEXTTAU%2CM2T1NXAER_5_12_4_TOTCMASS25&dataKeyword=AOD&portal=GIOVANNI&format=json"
Fill Value (mean_M2T1NXAER_5_12_4_TOTSMASS25):, 999999986991104

time, mean_M2T1NXAER_5_12_4_TOTSMASS25
2018-01-17 21:30:00,1.1827574e-07
2018-01-17 22:30:00,1.19495846e-07
2018-01-17 23:30:00,1.2052338e-07
2018-01-18 00:30:00,1.21525508e-07
2018-01-18 01:30:00,1.2158008e-07
2018-01-18 02:30:00,1.170901e-07
2018-01-18 03:30:00,1.02278443e-07
2018-01-18 04:30:00,1.03317719e-07
2018-01-18 05:30:00,9.16471105e-08
2018-01-18 06:30:00,1.11064171e-07
2018-01-18 07:30:00,1.03881513e-07
2018-01-18 08:30:00,9.9103397e-08
2018-01-18 09:30:00,9.46393114e-08
2018-01-18 10:30:00,9.18240707e-08
2018-01-18 11:30:00,9.16124379e-08
2018-01-18 12:30:00,9.22479622e-08
2018-01-18 13:30:00,9.38345739e-08
2018-01-18 14:30:00,9.62910537e-08
2018-01-18 15:30:00,9.94792992e-08
2018-01-18 16:30:00,1.02807655e-07
2018-01-18 17:30:00,1.05837265e-07
2018-01-18 18:30:00,1.08403459e-07
2018-01-18 19:30:00,1.10331929e-07
2018-01-18 20:30:00,1.11502558e-07
2018-01-18 21:30:00,1.12049395e-07
2018-01-18 22:30:00,1.12215342e-07
2018-01-18 23:30:00,1.12299378e-07
2018-01-19 00:30:00,1.1251571e-07
2018-01-19 01:30:00,1.12483606e-07
2018-01-19 02:30:00,1.08771361e-07
2018-01-19 03:30:00,1.01676548e-07
2018-01-19 04:30:00,9.23432225e-08
2018-01-19 05:30:00,7.99572088e-08
2018-01-19 06:30:00,7.08171495e-08
2018-01-19 07:30:00,6.92700108e-08
2018-01-19 08:30:00,6.95464804e-08
2018-01-19 09:30:00,7.15198605e-08
2018-01-19 10:30:00,7.39966862e-08
2018-01-19 11:30:00,7.80630316e-08
2018-01-19 12:30:00,8.26495198e-08
2018-01-19 13:30:00,8.73506352e-08
2018-01-19 14:30:00,9.18569945e-08
2018-01-19 15:30:00,9.59018539e-08
2018-01-19 16:30:00,9.92885953e-08
2018-01-19 17:30:00,1.02163018e-07
2018-01-19 18:30:00,1.04713855e-07
2018-01-19 19:30:00,1.07230676e-07
2018-01-19 20:30:00,1.09932823e-07
2018-01-19 21:30:00,1.12898467e-07
2018-01-19 22:30:00,1.16090055e-07
2018-01-19 23:30:00,1.19380466e-07
2018-01-20 00:30:00,1.22490772e-07
2018-01-20 01:30:00,1.24324232e-07
2018-01-20 02:30:00,1.21379898e-07
2018-01-20 03:30:00,4.86671642e-08
2018-01-20 04:30:00,5.22865321e-08
2018-01-20 05:30:00,5.46753069e-08
2018-01-20 06:30:00,6.1205327e-08
2018-01-20 07:30:00,6.38914982e-08
2018-01-20 08:30:00,6.74681314e-08
