date,pm2_5_mean,pm2_5_max,wind_speed_mean,wind_u_mean,wind_v_mean,temperature_mean,rh_mean,blh_mean,precip_sum,aod_extinction,merra2_surf_pm25_ugm3,aod_missing,pm25_lag7,season
12/15/2022,0.65,0.9,7.079166667,-4.186341833,2.855847437,19.32916667,73.04166667,367.0833333,0,0.878487734,131.4443129,0,64.3875,Winter
12/16/2022,59.6625,96.9,6.929166667,-4.652439036,3.943522942,19.19583333,70.75,408.3333333,0,0.843382932,137.1172725,0,74.3625,Winter
12/17/2022,100.85,156.9,6.216666667,-3.515226873,4.699858039,19.9,73.54166667,356.4583333,0,0.801000833,115.4424872,0,75.125,Winter
12/18/2022,112.9166667,185.3,6.4625,-3.625590886,2.786360325,18.94166667,79.625,300.8333333,0,0.421498412,47.24159119,0,52.9625,Winter
12/19/2022,84.02083333,121.5,5.141666667,-4.60800762,0.594483159,18.70416667,76.04166667,295.625,0,0.507063754,56.1810851,0,100.0333333,Winter
12/20/2022,98.62083333,154.6,6.529166667,-3.111181968,4.194076709,19.5125,75.16666667,366.25,0,0.598136511,66.59367802,0,88.81666667,Winter
12/21/2022,109.025,157.4,6.883333333,-2.93491046,5.805167456,19.8625,74.5,363.3333333,0,0.696584066,82.15459349,0,0.7125,Winter
12/22/2022,97.70416667,143.9,7.758333333,-5.830181272,4.343898933,19.71666667,76.70833333,388.9583333,0,0.812080393,111.8204104,0,0.65,Winter
12/23/2022,108.1458333,142.5,7.6,-4.649096031,5.311868521,18.85416667,72.5,367.9166667,0,0.558744188,111.1007026,0,59.6625,Winter
12/24/2022,76.95,118.5,7.441666667,-4.766899118,3.259942325,18.17916667,72.16666667,328.9583333,0,0.428914982,62.44798313,0,100.85,Winter
12/25/2022,106.6458333,125.3,5.645833333,2.644279052,-3.630370655,20.05833333,68.95833333,235.8333333,0,1.035209862,82.88342383,0,112.9166667,Winter
12/26/2022,101.1166667,136.4,5.425,1.11060811,-2.053454542,21.15416667,75.5,253.9583333,1.1,1.158233111,76.37768933,0,84.02083333,Winter
12/27/2022,110.8375,140.6,6.508333333,-0.946899557,-2.730093062,20.15,86.95833333,260.4166667,8.2,1.38295718,65.78703559,0,98.62083333,Winter
12/28/2022,114.9291667,181.1,6.433333333,0.621700599,1.884811022,19.01666667,85.20833333,269.1666667,0.1,1.168199415,69.84139014,0,109.025,Winter
12/29/2022,133.4291667,168.1,7.325,-2.204786754,4.928929694,16.76666667,72.95833333,350.8333333,0,0.61246092,75.81247142,0,97.70416667,Winter
12/30/2022,161.6041667,225.8,5.879166667,-2.524692407,3.887930063,17.12916667,73.66666667,344.1666667,0,0.963596168,94.21928645,0,108.1458333,Winter
12/31/2022,184.6333333,231,3.741666667,0.210623568,0.762193182,17.525,76.5,292.7083333,0,0.993307166,84.1975433,0,76.95,Winter
1/1/2023,137.1416667,174.6,6.741666667,3.31618681,5.170407024,17.325,78.5,289.375,0,0.958056815,85.42587028,0,106.6458333,Winter
1/2/2023,111.1833333,147.1,7.2875,-1.079859799,6.768071921,17.55833333,75.08333333,336.4583333,0,0.526720747,53.91034088,0,101.1166667,Winter
1/3/2023,84.12083333,132.7,8.208333333,-3.560606669,7.093618151,17.28333333,78.41666667,309.5833333,0,0.487211662,58.21354432,0,110.8375,Winter
1/4/2023,61.0375,72.9,9.0375,-4.080778306,7.92734598,17.31666667,80.83333333,361.6666667,0,0.607357745,73.92422794,0,114.9291667,Winter
1/5/2023,58.79166667,69.6,10.5625,-6.179946,8.429027095,16.675,82.75,362.0833333,0,0.450515136,59.10400758,0,133.4291667,Winter
1/6/2023,51.7375,62.6,10,-7.168035137,6.899524605,16.3375,83.54166667,339.1666667,0,0.431584015,49.98765844,0,161.6041667,Winter
1/7/2023,55.5625,68.5,7.8875,-5.020063063,5.95288296,16.29583333,85.16666667,266.6666667,0,0.489226744,55.62930428,0,184.6333333,Winter
1/8/2023,55.75,66.4,7.8,-2.859799055,6.902056133,17.69166667,85.20833333,241.6666667,0,0.381829026,59.59557108,0,137.1416667,Winter
1/9/2023,56.49583333,72.9,8.116666667,-4.194295408,6.841125246,18.325,83.5,235.2083333,0,0.3134864,52.88171411,0,111.1833333,Winter
1/10/2023,59.35416667,75.4,8.454166667,-5.497149187,5.60196325,18.08333333,81.375,234.5833333,0,0.323951197,50.76137179,0,84.12083333,Winter
1/11/2023,82.79166667,109.7,7.558333333,-5.589352785,4.327715158,16.72083333,76.25,265,0,0.544370532,88.85122361,0,61.0375,Winter
1/12/2023,108.5916667,157.4,6.875,-5.844034018,1.137387044,15.15,77.16666667,278.3333333,0,0.630671513,118.2200013,0,58.79166667,Winter
1/13/2023,135.4458333,188.1,6.216666667,2.629015543,-0.856858198,16.7875,77.08333333,261.875,0,0.841736342,121.0893785,0,51.7375,Winter
1/14/2023,114.4041667,167.6,6.65,0.308307562,-5.429138718,19.24166667,83.83333333,271.25,0.6,1.056264338,116.0972169,0,55.5625,Winter
1/15/2023,129.5166667,193.2,7.183333333,-1.84901802,3.386170687,19.47083333,74.58333333,404.1666667,0,0.863263946,92.54333118,0,55.75,Winter
1/16/2023,94.425,122.9,6.95,-0.037146665,5.419313959,18.19583333,73,353.3333333,0,0.811897881,78.04775241,0,56.49583333,Winter
1/17/2023,100.8208333,140.2,7.229166667,-0.889854987,5.889081462,17.12916667,74.375,391.25,0,0.726047336,77.0659852,0,59.35416667,Winter
1/18/2023,120.6583333,175.6,6.866666667,0.337296871,5.107517264,16.5625,71.54166667,343.75,0,0.924004058,91.55652894,0,82.79166667,Winter
1/19/2023,117.8875,161.1,8.470833333,-2.624522852,6.752402181,15.75,69.66666667,343.125,0,0.691094192,100.4786587,0,108.5916667,Winter
1/20/2023,123.5083333,148.5,8.316666667,-4.030322537,6.644601253,15.725,74.125,292.7083333,0,0.714298343,129.7710298,0,135.4458333,Winter
1/21/2023,128.8583333,207.2,7.645833333,-4.198820992,5.497615015,16.77916667,70.91666667,254.1666667,0,0.74899136,130.6795698,0,114.4041667,Winter
